word,synset,definition,synonyms,closest_words,closest_words_with_distances
Pat,dab.v.02,hit lightly,dab,"strike, jab, butt, knock, down, spur, peck, tap, hew, sideswipe, whip, beat, beat, sclaff, clout, rap, chop, slap, sclaff, buffet","strike (0.200), jab (0.333), butt (0.333), knock (0.333), down (0.333), spur (0.333), peck (0.333), tap (0.333), hew (0.333), sideswipe (0.333), whip (0.333), beat (0.333), beat (0.333), sclaff (0.333), clout (0.333), rap (0.333), chop (0.333), slap (0.333), sclaff (0.333), buffet (0.333)"
Caress,caress.n.01,a gentle affectionate stroking (or something resembling it),N/A,"stroke, touch, contact, tap, hit, dig, kiss, kiss, catch, handling, fingering, grope, palpation, tickle, tag, lick, grazing, act, rub, contusion","stroke (0.067), touch (0.143), contact (0.200), tap (0.200), hit (0.200), dig (0.200), kiss (0.200), kiss (0.200), catch (0.200), handling (0.200), fingering (0.200), grope (0.200), palpation (0.200), tickle (0.200), tag (0.200), lick (0.200), grazing (0.200), act (0.231), rub (0.250), contusion (0.250)"
Stroke,stroke.n.04,a light touch,N/A,"touch, brush, contact, collision, engagement, flick, impact, happening, blow, slam, accompaniment, avalanche, experience, trouble, treat, miracle, wonder, thing, episode, eventuality","touch (0.067), brush (0.125), contact (0.143), collision (0.200), engagement (0.200), flick (0.200), impact (0.200), happening (0.231), blow (0.250), slam (0.250), accompaniment (0.286), avalanche (0.286), experience (0.286), trouble (0.286), treat (0.286), miracle (0.286), wonder (0.286), thing (0.286), episode (0.286), eventuality (0.286)"
Stroke,stroke.n.05,a light touch with the hands,stroking,"caress, touch, contact, tap, hit, dig, kiss, kiss, catch, handling, fingering, grope, palpation, tickle, tag, lick, grazing, act, rub, contusion","caress (0.067), touch (0.077), contact (0.143), tap (0.143), hit (0.143), dig (0.143), kiss (0.143), kiss (0.143), catch (0.143), handling (0.143), fingering (0.143), grope (0.143), palpation (0.143), tickle (0.143), tag (0.143), lick (0.143), grazing (0.143), act (0.167), rub (0.200), contusion (0.200)"
Hold,have.v.01,"have or possess, either in a concrete or an abstract sense","have, have_got","sustain, keep, keep, keep, keep, monopolize, wield, stock, bear, carry, entity, breathe, act, be active, oversleep, nod, fall asleep, go to bed, get up, wake","sustain (0.333), keep (0.333), keep (0.333), keep (0.333), keep (0.333), monopolize (0.333), wield (0.333), stock (0.333), bear (0.333), carry (0.333), entity (0.500), breathe (0.500), act (0.500), be active (0.500), oversleep (0.500), nod (0.500), fall asleep (0.500), go to bed (0.500), get up (0.500), wake (0.500)"
Cheer,cheer.n.01,a cry or shout of approval,N/A,"banzai, bravo, hurrah, salvo, approval, approbation, sanction, recognition, connivance, permission, encouragement, acclaim, applause, praise, tribute, message, authority, O.K., visa, nihil obstat","banzai (0.077), bravo (0.077), hurrah (0.077), salvo (0.077), approval (0.091), approbation (0.167), sanction (0.167), recognition (0.167), connivance (0.167), permission (0.167), encouragement (0.167), acclaim (0.167), applause (0.167), praise (0.167), tribute (0.167), message (0.200), authority (0.231), O.K. (0.231), visa (0.231), nihil obstat (0.231)"
Encourage,encourage.v.02,inspire with confidence; give hope or courage to,N/A,"cheer, foster, hollo, cheer, draw out, bring out, spur, inspire, cheerlead, patronize, take heart, serve, stimulate, fuel, arouse, frighten, thrill, tempt, elate, titillate","cheer (0.091), foster (0.091), hollo (0.091), cheer (0.091), draw out (0.091), bring out (0.091), spur (0.091), inspire (0.111), cheerlead (0.167), patronize (0.167), take heart (0.167), serve (0.167), stimulate (0.250), fuel (0.333), arouse (0.333), frighten (0.333), thrill (0.333), tempt (0.333), elate (0.333), titillate (0.333)"
Grounding,ground.v.02,confine or restrict to the ground,ground,"restrain, tie down, fetter, enchain, pinion, impound, pound, pen up, disable, chain up, faggot, faggot, hog-tie, manacle, lay up, nobble, pinion, entity, breathe, act","restrain (0.143), tie down (0.250), fetter (0.250), enchain (0.250), pinion (0.250), impound (0.250), pound (0.250), pen up (0.250), disable (0.333), chain up (0.333), faggot (0.333), faggot (0.333), hog-tie (0.333), manacle (0.333), lay up (0.429), nobble (0.429), pinion (0.429), entity (0.714), breathe (0.714), act (0.714)"
Sad,sad.a.01,experiencing or showing sorrow or unhappiness; ; - Christina Rossetti,N/A,"entity, breathe, act, be active, oversleep, nod, fall asleep, go to bed, get up, wake, keep up, wear, lie in, carry to term, keep down, gag, treat, exercise, exhaust, fracture","entity (0.500), breathe (0.500), act (0.500), be active (0.500), oversleep (0.500), nod (0.500), fall asleep (0.500), go to bed (0.500), get up (0.500), wake (0.500), keep up (0.500), wear (0.500), lie in (0.500), carry to term (0.500), keep down (0.500), gag (0.500), treat (0.500), exercise (0.500), exhaust (0.500), fracture (0.500)"
Upset,disturbance.n.02,an unhappy and worried mental state,"disturbance, perturbation","agitation, fret, dither, tailspin, psychological state, cognitive state, state of mind, abulia, anhedonia, depersonalization, hypnosis, fugue, trauma, morale, anxiety, hallucinosis, identity crisis, nervousness, delusion, mental health","agitation (0.067), fret (0.125), dither (0.125), tailspin (0.125), psychological state (0.143), cognitive state (0.200), state of mind (0.200), abulia (0.200), anhedonia (0.200), depersonalization (0.200), hypnosis (0.200), fugue (0.200), trauma (0.200), morale (0.200), anxiety (0.200), hallucinosis (0.200), identity crisis (0.200), nervousness (0.200), delusion (0.200), mental health (0.200)"
Upset,upset.n.02,the act of disturbing the mind or body,"derangement, overthrow","disturbance, circus, disorganization, disruption, commotion, furor, havoc, melee, agitation, outburst, rampage, motion, brouhaha, dislocation, surprise, wilding, bustle, abduction, adduction, agitation","disturbance (0.053), circus (0.100), disorganization (0.100), disruption (0.100), commotion (0.100), furor (0.100), havoc (0.100), melee (0.100), agitation (0.100), outburst (0.100), rampage (0.100), motion (0.111), brouhaha (0.143), dislocation (0.143), surprise (0.143), wilding (0.143), bustle (0.143), abduction (0.158), adduction (0.158), agitation (0.158)"
Cry,cry.n.01,a loud utterance; often in protest or opposition,"outcry, call, yell, shout, vociferation","bellow, blue murder, catcall, clamor, halloo, hoot, hosanna, noise, scream, whoop, war cry, yelling, yodel, boo, utterance, roll call, cry, croak, exclamation, expletive","bellow (0.077), blue murder (0.077), catcall (0.077), clamor (0.077), halloo (0.077), hoot (0.077), hosanna (0.077), noise (0.077), scream (0.077), whoop (0.077), war cry (0.077), yelling (0.077), yodel (0.077), boo (0.077), utterance (0.091), roll call (0.167), cry (0.167), croak (0.167), exclamation (0.167), expletive (0.167)"
Anxiety,anxiety.n.01,"(psychiatry) a relatively permanent state of worry and nervousness occurring in a variety of mental disorders, usually accompanied by compulsive behavior or attacks of panic",anxiousness,"castration anxiety, hypochondria, overanxiety, panic, psychological state, red scare, cognitive state, state of mind, abulia, anhedonia, depersonalization, hypnosis, fugue, trauma, morale, hallucinosis, identity crisis, nervousness, delusion, mental health","castration anxiety (0.067), hypochondria (0.067), overanxiety (0.067), panic (0.067), psychological state (0.077), red scare (0.125), cognitive state (0.143), state of mind (0.143), abulia (0.143), anhedonia (0.143), depersonalization (0.143), hypnosis (0.143), fugue (0.143), trauma (0.143), morale (0.143), hallucinosis (0.143), identity crisis (0.143), nervousness (0.143), delusion (0.143), mental health (0.143)"
Anxiety,anxiety.n.02,a vague unpleasant emotion that is experienced in anticipation of some (usually ill-defined) misfortune,N/A,"discomfiture, worry, concern, anxiousness, insecurity, edginess, sinking, scruple, jitteriness, angst, emotion, willies, conditioned emotional response, anger, fear, fear, joy, love, hate, emotional state","discomfiture (0.067), worry (0.067), concern (0.067), anxiousness (0.067), insecurity (0.067), edginess (0.067), sinking (0.067), scruple (0.067), jitteriness (0.067), angst (0.067), emotion (0.077), willies (0.125), conditioned emotional response (0.143), anger (0.143), fear (0.143), fear (0.143), joy (0.143), love (0.143), hate (0.143), emotional state (0.143)"
Anxious,anxious.s.01,eagerly desirous,dying,"entity, breathe, act, be active, oversleep, nod, fall asleep, go to bed, get up, wake, keep up, wear, lie in, carry to term, keep down, gag, treat, exercise, exhaust, fracture","entity (0.500), breathe (0.500), act (0.500), be active (0.500), oversleep (0.500), nod (0.500), fall asleep (0.500), go to bed (0.500), get up (0.500), wake (0.500), keep up (0.500), wear (0.500), lie in (0.500), carry to term (0.500), keep down (0.500), gag (0.500), treat (0.500), exercise (0.500), exhaust (0.500), fracture (0.500)"
Anxious,anxious.s.02,causing or fraught with or showing anxiety,"nervous, queasy, uneasy, unquiet","entity, breathe, act, be active, oversleep, nod, fall asleep, go to bed, get up, wake, keep up, wear, lie in, carry to term, keep down, gag, treat, exercise, exhaust, fracture","entity (0.500), breathe (0.500), act (0.500), be active (0.500), oversleep (0.500), nod (0.500), fall asleep (0.500), go to bed (0.500), get up (0.500), wake (0.500), keep up (0.500), wear (0.500), lie in (0.500), carry to term (0.500), keep down (0.500), gag (0.500), treat (0.500), exercise (0.500), exhaust (0.500), fracture (0.500)"
Stress,tension.n.01,(psychology) a state of mental or emotional strain or suspense,"tension, tenseness","yips, breaking point, strain, nervousness, jitters, psychological state, cognitive state, state of mind, abulia, anhedonia, depersonalization, hypnosis, fugue, trauma, morale, anxiety, hallucinosis, identity crisis, delusion, mental health","yips (0.053), breaking point (0.053), strain (0.059), nervousness (0.125), jitters (0.176), psychological state (0.200), cognitive state (0.250), state of mind (0.250), abulia (0.250), anhedonia (0.250), depersonalization (0.250), hypnosis (0.250), fugue (0.250), trauma (0.250), morale (0.250), anxiety (0.250), hallucinosis (0.250), identity crisis (0.250), delusion (0.250), mental health (0.250)"
Worried,worry.v.01,"be worried, concerned, anxious, troubled, or uneasy",worry,"fret, fear, fuss, obsess, entity, breathe, act, be active, oversleep, nod, fall asleep, go to bed, get up, wake, keep up, wear, lie in, carry to term, keep down, gag","fret (0.333), fear (0.333), fuss (0.333), obsess (0.333), entity (0.500), breathe (0.500), act (0.500), be active (0.500), oversleep (0.500), nod (0.500), fall asleep (0.500), go to bed (0.500), get up (0.500), wake (0.500), keep up (0.500), wear (0.500), lie in (0.500), carry to term (0.500), keep down (0.500), gag (0.500)"
Worried,worry.v.02,be concerned with,"worry, care","brood, mind, think about, consider, contemplate, dally, abstract, warm to, entertain, entity, breathe, act, be active, oversleep, nod, fall asleep, go to bed, get up, wake, keep up","brood (0.111), mind (0.143), think about (0.333), consider (0.429), contemplate (0.500), dally (0.500), abstract (0.500), warm to (0.500), entertain (0.556), entity (0.714), breathe (0.714), act (0.714), be active (0.714), oversleep (0.714), nod (0.714), fall asleep (0.714), go to bed (0.714), get up (0.714), wake (0.714), keep up (0.714)"
Emotional,emotional.a.01,determined or actuated by emotion rather than reason,N/A,"entity, breathe, act, be active, oversleep, nod, fall asleep, go to bed, get up, wake, keep up, wear, lie in, carry to term, keep down, gag, treat, exercise, exhaust, fracture","entity (0.500), breathe (0.500), act (0.500), be active (0.500), oversleep (0.500), nod (0.500), fall asleep (0.500), go to bed (0.500), get up (0.500), wake (0.500), keep up (0.500), wear (0.500), lie in (0.500), carry to term (0.500), keep down (0.500), gag (0.500), treat (0.500), exercise (0.500), exhaust (0.500), fracture (0.500)"
Bad_news,N/A,N/A,N/A,N/A,N/A
