word,synset,definition,synonyms,closest_words,closest_words_with_distances
Therapy,therapy.n.01,(medicine) the act of caring for someone (as by medication or remedial training etc.),N/A,"aromatherapy, chemotherapy, correction, electrotherapy, heliotherapy, hormone replacement therapy, immunotherapy, infrared therapy, inflation therapy, iontophoresis, medication, megavitamin therapy, occupational therapy, physical therapy, phytotherapy, psychotherapy, radiotherapy, shock therapy, speech therapy, refrigeration","aromatherapy (0.043), chemotherapy (0.043), correction (0.043), electrotherapy (0.043), heliotherapy (0.043), hormone replacement therapy (0.043), immunotherapy (0.043), infrared therapy (0.043), inflation therapy (0.043), iontophoresis (0.043), medication (0.043), megavitamin therapy (0.043), occupational therapy (0.043), physical therapy (0.043), phytotherapy (0.043), psychotherapy (0.043), radiotherapy (0.043), shock therapy (0.043), speech therapy (0.043), refrigeration (0.043)"
Nurse,nurse.n.01,one skilled in caring for young children or the sick (usually under the supervision of a physician),N/A,"foster-nurse, graduate nurse, head nurse, licensed practical nurse, matron, midwife, probationer, registered nurse, scrub nurse, visiting nurse, Cavell, Nightingale, Sanger, health professional, nurse-midwife, nurse practitioner, bonesetter, electrologist, medical assistant, medical practitioner","foster-nurse (0.043), graduate nurse (0.043), head nurse (0.043), licensed practical nurse (0.043), matron (0.043), midwife (0.043), probationer (0.043), registered nurse (0.043), scrub nurse (0.043), visiting nurse (0.043), Cavell (0.043), Nightingale (0.043), Sanger (0.043), health professional (0.048), nurse-midwife (0.083), nurse practitioner (0.083), bonesetter (0.091), electrologist (0.091), medical assistant (0.091), medical practitioner (0.091)"
Test,trial.n.02,trying something to find out about it,"trial, trial_run, tryout","field trial, alpha test, beta test, road test, trial balloon, experiment, test drive, pilot experiment, inquiry, nature study, empirical research, probe, poll, heraldry, problem solving, fishing expedition, exit poll, straw vote, calculation, thinking","field trial (0.043), alpha test (0.043), beta test (0.043), road test (0.043), trial balloon (0.043), experiment (0.048), test drive (0.083), pilot experiment (0.091), inquiry (0.100), nature study (0.143), empirical research (0.143), probe (0.143), poll (0.143), heraldry (0.143), problem solving (0.158), fishing expedition (0.182), exit poll (0.182), straw vote (0.182), calculation (0.200), thinking (0.222)"
Test,examination.n.02,a set of questions or exercises evaluating skill or knowledge,"examination, exam","bar examination, comprehensive examination, entrance examination, final examination, litmus test, midterm examination, oral, preliminary examination, quiz, test paper, tripos, communication, pop quiz, transmission, intercommunication, medium, channel, mail, dramaturgy, discussion","bar examination (0.067), comprehensive examination (0.067), entrance examination (0.067), final examination (0.067), litmus test (0.067), midterm examination (0.067), oral (0.067), preliminary examination (0.067), quiz (0.067), test paper (0.067), tripos (0.067), communication (0.077), pop quiz (0.125), transmission (0.143), intercommunication (0.143), medium (0.143), channel (0.143), mail (0.143), dramaturgy (0.143), discussion (0.143)"
Appointment,date.n.03,a meeting arranged in advance,"date, engagement","blind date, double date, tryst, meeting, conventicle, visit, luncheon meeting, power breakfast, seance, social gathering, bee, love feast, company, function, party, supper, gathering, quilting bee, attendance, husking bee","blind date (0.059), double date (0.059), tryst (0.059), meeting (0.067), conventicle (0.125), visit (0.125), luncheon meeting (0.125), power breakfast (0.125), seance (0.125), social gathering (0.143), bee (0.200), love feast (0.200), company (0.200), function (0.200), party (0.200), supper (0.200), gathering (0.231), quilting bee (0.250), attendance (0.250), husking bee (0.250)"
Treat,process.v.01,"subject to a process or treatment, with the aim of readying for some purpose, improving, or remedying a condition",process,"propagate, iodize, nitrate, tank, oxygenate, mercerize, malt, fluoridate, creosote, chlorinate, carbonate, camphorate, bromate, ammoniate, irradiate, scald, refine, nitrify, reverberate, curry","propagate (0.143), iodize (0.143), nitrate (0.143), tank (0.143), oxygenate (0.143), mercerize (0.143), malt (0.143), fluoridate (0.143), creosote (0.143), chlorinate (0.143), carbonate (0.143), camphorate (0.143), bromate (0.143), ammoniate (0.143), irradiate (0.143), scald (0.143), refine (0.143), nitrify (0.143), reverberate (0.143), curry (0.143)"
Treat,treat.v.03,provide treatment for,care_for,"hyperventilate, massage, purge, correct, insufflate, detox, irrigate, iodize, doctor, vet, nurse, manipulate, administer, remedy, dress, splint, operate on, medicate, bleed, cup","hyperventilate (0.333), massage (0.333), purge (0.333), correct (0.333), insufflate (0.333), detox (0.333), irrigate (0.333), iodize (0.333), doctor (0.333), vet (0.333), nurse (0.333), manipulate (0.333), administer (0.333), remedy (0.333), dress (0.333), splint (0.333), operate on (0.333), medicate (0.333), bleed (0.333), cup (0.333)"
Treatment,treatment.n.01,care provided to improve a situation (especially medical procedures or applications that are intended to relieve illness or injury),intervention,"medical care, massage, modality, detoxification, chiropractic, fomentation, naturopathy, naprapathy, orthodontic treatment, orthoptics, osteopathy, osteoclasis, acupuncture, acupressure, autogenic therapy, hydropathy, rest-cure, care, rubdown, primary care","medical care (0.053), massage (0.053), modality (0.053), detoxification (0.053), chiropractic (0.053), fomentation (0.053), naturopathy (0.053), naprapathy (0.053), orthodontic treatment (0.053), orthoptics (0.053), osteopathy (0.053), osteoclasis (0.053), acupuncture (0.053), acupressure (0.053), autogenic therapy (0.053), hydropathy (0.053), rest-cure (0.053), care (0.059), rubdown (0.100), primary care (0.100)"
Hospital,hospital.n.01,a health facility where patients receive treatment,infirmary,"creche, lazaretto, maternity hospital, mental hospital, military hospital, sanatorium, medical building, Bedlam, field hospital, clinic, building, dispensary, abattoir, apartment building, architecture, aviary, bathhouse, bowling alley, center, chapterhouse","creche (0.053), lazaretto (0.053), maternity hospital (0.053), mental hospital (0.053), military hospital (0.053), sanatorium (0.053), medical building (0.059), Bedlam (0.100), field hospital (0.100), clinic (0.111), building (0.125), dispensary (0.158), abattoir (0.176), apartment building (0.176), architecture (0.176), aviary (0.176), bathhouse (0.176), bowling alley (0.176), center (0.176), chapterhouse (0.176)"
Medical,checkup.n.01,a thorough physical examination; includes a variety of tests depending on the age and sex and health of the person,"checkup, medical_checkup, medical_examination, medical_exam, health_check","examination, audit, autopsy, comparison, fine-tooth comb, follow-up, going-over, once-over, ophthalmoscopy, palpation, endoscopy, gonioscopy, keratoscopy, rhinoscopy, scan, search, survey, testing, time and motion study, inspection","examination (0.053), audit (0.100), autopsy (0.100), comparison (0.100), fine-tooth comb (0.100), follow-up (0.100), going-over (0.100), once-over (0.100), ophthalmoscopy (0.100), palpation (0.100), endoscopy (0.100), gonioscopy (0.100), keratoscopy (0.100), rhinoscopy (0.100), scan (0.100), search (0.100), survey (0.100), testing (0.100), time and motion study (0.100), inspection (0.100)"
Physio,N/A,N/A,N/A,N/A,N/A
Injection,injection.n.01,the forceful insertion of a substance under pressure,N/A,"epidural injection, insertion, cannulation, instillation, enclosure, transfusion, perfusion, movement, packing, encasement, infusion, exchange transfusion, displacement, transportation, lowering, transplant, troop movement, change, bundling, transshipment","epidural injection (0.048), insertion (0.053), cannulation (0.100), instillation (0.100), enclosure (0.100), transfusion (0.100), perfusion (0.100), movement (0.111), packing (0.143), encasement (0.143), infusion (0.143), exchange transfusion (0.143), displacement (0.158), transportation (0.158), lowering (0.158), transplant (0.158), troop movement (0.158), change (0.176), bundling (0.182), transshipment (0.200)"
Injection,injection.n.03,the act of putting a liquid into the body by means of a syringe,shot,"intradermal injection, intramuscular injection, intravenous injection, subcutaneous injection, medical care, fix, primary care, aftercare, hospitalization, therapy, nursing care, irrigation, dressing, holistic medicine, hospice, bloodletting, defibrillation, detoxification, disinfection, digitalization","intradermal injection (0.043), intramuscular injection (0.043), intravenous injection (0.043), subcutaneous injection (0.043), medical care (0.048), fix (0.083), primary care (0.091), aftercare (0.091), hospitalization (0.091), therapy (0.091), nursing care (0.091), irrigation (0.091), dressing (0.091), holistic medicine (0.091), hospice (0.091), bloodletting (0.091), defibrillation (0.091), detoxification (0.091), disinfection (0.091), digitalization (0.091)"
Surgery,surgery.n.01,the branch of medical science that treats disease or injury by operative procedures,N/A,"medical science, medicine, pathology, radiology, serology, orthopedics, neurology, life science, allergology, anesthesiology, angiology, bacteriology, biomedicine, biomedicine, cardiology, dentistry, prosthetics, dermatology, emergency medicine, endocrinology","medical science (0.043), medicine (0.083), pathology (0.083), radiology (0.083), serology (0.083), orthopedics (0.083), neurology (0.083), life science (0.091), allergology (0.120), anesthesiology (0.120), angiology (0.120), bacteriology (0.120), biomedicine (0.120), biomedicine (0.120), cardiology (0.120), dentistry (0.120), prosthetics (0.120), dermatology (0.120), emergency medicine (0.120), endocrinology (0.120)"
Operation,operation.n.06,a medical procedure involving an incision with instruments; performed to repair damage or arrest disease in a living body,"surgery, surgical_operation, surgical_procedure, surgical_process","catheterization, ablation, amputation, angioplasty, arthroplasty, arthroscopy, brain surgery, castration, cautery, chemosurgery, craniotomy, cryosurgery, curettage, debridement, decortication, dilation and curettage, electrosurgery, enterostomy, enucleation, wrong-site surgery","catheterization (0.053), ablation (0.053), amputation (0.053), angioplasty (0.053), arthroplasty (0.053), arthroscopy (0.053), brain surgery (0.053), castration (0.053), cautery (0.053), chemosurgery (0.053), craniotomy (0.053), cryosurgery (0.053), curettage (0.053), debridement (0.053), decortication (0.053), dilation and curettage (0.053), electrosurgery (0.053), enterostomy (0.053), enucleation (0.053), wrong-site surgery (0.053)"
Tender,tender.v.04,"make tender or more tender as by marinating, pounding, or applying a tenderizer","tenderize, tenderise","entity, breathe, act, be active, oversleep, nod, fall asleep, go to bed, get up, wake, keep up, wear, lie in, carry to term, keep down, gag, treat, exercise, exhaust, fracture","entity (0.600), breathe (0.600), act (0.600), be active (0.600), oversleep (0.600), nod (0.600), fall asleep (0.600), go to bed (0.600), get up (0.600), wake (0.600), keep up (0.600), wear (0.600), lie in (0.600), carry to term (0.600), keep down (0.600), gag (0.600), treat (0.600), exercise (0.600), exhaust (0.600), fracture (0.600)"
Tender,tender.a.06,physically untoughened,untoughened,"entity, breathe, act, be active, oversleep, nod, fall asleep, go to bed, get up, wake, keep up, wear, lie in, carry to term, keep down, gag, treat, exercise, exhaust, fracture","entity (0.500), breathe (0.500), act (0.500), be active (0.500), oversleep (0.500), nod (0.500), fall asleep (0.500), go to bed (0.500), get up (0.500), wake (0.500), keep up (0.500), wear (0.500), lie in (0.500), carry to term (0.500), keep down (0.500), gag (0.500), treat (0.500), exercise (0.500), exhaust (0.500), fracture (0.500)"
Medication,medicine.n.02,(medicine) something that treats or prevents or alleviates the symptoms of disease,"medicine, medicament, medicinal_drug","acyclovir, alendronate, allopurinol, amrinone, analgesic, angiogenesis inhibitor, antiarrhythmic, antibacterial, anticholinergic, anticholinesterase, anticoagulant, anticonvulsant, antidepressant, antidiabetic, antidiarrheal, antidiuretic, antiemetic, antihistamine, antihypertensive, anti-inflammatory","acyclovir (0.067), alendronate (0.067), allopurinol (0.067), amrinone (0.067), analgesic (0.067), angiogenesis inhibitor (0.067), antiarrhythmic (0.067), antibacterial (0.067), anticholinergic (0.067), anticholinesterase (0.067), anticoagulant (0.067), anticonvulsant (0.067), antidepressant (0.067), antidiabetic (0.067), antidiarrheal (0.067), antidiuretic (0.067), antiemetic (0.067), antihistamine (0.067), antihypertensive (0.067), anti-inflammatory (0.067)"
Pills,pill.n.01,something that resembles a tablet of medicine in shape or size,pill,"vitamin pill, thing, multivitamin, flagship, snorter, standby, variation, wobbler, artifact, bastard, article, facility, Americana, anachronism, antiquity, block, button, commodity, cone, covering","vitamin pill (0.067), thing (0.077), multivitamin (0.125), flagship (0.143), snorter (0.143), standby (0.143), variation (0.143), wobbler (0.143), artifact (0.167), bastard (0.200), article (0.231), facility (0.231), Americana (0.231), anachronism (0.231), antiquity (0.231), block (0.231), button (0.231), commodity (0.231), cone (0.231), covering (0.231)"
Pills,pill.n.02,a dose of medicine in the form of a small pellet,"pill, lozenge, tablet, tab","bolus, capsule, dragee, sleeping pill, dose, booster, draft, hit, lethal dose, medicine, acyclovir, alendronate, allopurinol, amrinone, analgesic, angiogenesis inhibitor, antiarrhythmic, antibacterial, anticholinergic, anticholinesterase","bolus (0.053), capsule (0.053), dragee (0.053), sleeping pill (0.053), dose (0.059), booster (0.111), draft (0.111), hit (0.111), lethal dose (0.111), medicine (0.125), acyclovir (0.176), alendronate (0.176), allopurinol (0.176), amrinone (0.176), analgesic (0.176), angiogenesis inhibitor (0.176), antiarrhythmic (0.176), antibacterial (0.176), anticholinergic (0.176), anticholinesterase (0.176)"
Blood_test,blood_test.n.01,N/A,N/A,N/A,N/A
Vein,vein.n.01,N/A,N/A,N/A,N/A
Numbing,numb.v.01,make numb or insensitive,"numb, benumb, blunt, dull","desensitize, stun, besot, deafen, entity, breathe, act, be active, oversleep, nod, fall asleep, go to bed, get up, wake, keep up, wear, lie in, carry to term, keep down, gag","desensitize (0.200), stun (0.333), besot (0.333), deafen (0.333), entity (0.667), breathe (0.667), act (0.667), be active (0.667), oversleep (0.667), nod (0.667), fall asleep (0.667), go to bed (0.667), get up (0.667), wake (0.667), keep up (0.667), wear (0.667), lie in (0.667), carry to term (0.667), keep down (0.667), gag (0.667)"
Consultation,consultation.n.01,a conference (usually with someone important),"audience, interview","conference, bull session, colloquy, consultation, huddle, press conference, pretrial, round table, session, teach-in, teleconference, discussion, sidebar, backgrounder, sitting, clinic, executive session, hearing, skull session, special session","conference (0.067), bull session (0.125), colloquy (0.125), consultation (0.125), huddle (0.125), press conference (0.125), pretrial (0.125), round table (0.125), session (0.125), teach-in (0.125), teleconference (0.125), discussion (0.143), sidebar (0.176), backgrounder (0.176), sitting (0.176), clinic (0.176), executive session (0.176), hearing (0.176), skull session (0.176), special session (0.176)"
Consult,consult.v.01,get or ask advice from,confer_with,"ask, pry, communicate, grimace, yak, fingerspell, aphorize, riddle, project, reach, inflict, commune, telecommunicate, inform, joke, blog, greet, address, nod, sign","ask (0.111), pry (0.200), communicate (0.250), grimace (0.333), yak (0.333), fingerspell (0.333), aphorize (0.333), riddle (0.333), project (0.333), reach (0.333), inflict (0.333), commune (0.333), telecommunicate (0.333), inform (0.333), joke (0.333), blog (0.333), greet (0.333), address (0.333), nod (0.333), sign (0.333)"
Palpate,palpate.v.01,examine (a body part) by palpation,feel,"entity, breathe, act, be active, oversleep, nod, fall asleep, go to bed, get up, wake, keep up, wear, lie in, carry to term, keep down, gag, treat, exercise, exhaust, fracture","entity (0.600), breathe (0.600), act (0.600), be active (0.600), oversleep (0.600), nod (0.600), fall asleep (0.600), go to bed (0.600), get up (0.600), wake (0.600), keep up (0.600), wear (0.600), lie in (0.600), carry to term (0.600), keep down (0.600), gag (0.600), treat (0.600), exercise (0.600), exhaust (0.600), fracture (0.600)"
Ointment,ointment.n.01,semisolid preparation (usually containing a medicine) applied externally as a remedy or for soothing an irritation,"unction, unguent, balm, salve","arnica, baby oil, balsam, carron oil, cerate, chrism, lip balm, mentholated salve, mercurial ointment, zinc ointment, remedy, camphor ice, acoustic, antidote, emetic, lenitive, lotion, magic bullet, palliative, panacea","arnica (0.053), baby oil (0.053), balsam (0.053), carron oil (0.053), cerate (0.053), chrism (0.053), lip balm (0.053), mentholated salve (0.053), mercurial ointment (0.053), zinc ointment (0.053), remedy (0.059), camphor ice (0.100), acoustic (0.111), antidote (0.111), emetic (0.111), lenitive (0.111), lotion (0.111), magic bullet (0.111), palliative (0.111), panacea (0.111)"
