word,synset,definition,synonyms,closest_words,closest_words_with_distances
Partner,spouse.n.01,a person's partner in marriage,"spouse, married_person, mate, better_half","bigamist, consort, helpmate, husband, monogamist, newlywed, polygamist, wife, battle-ax, benedick, bride, crown princess, cuckold, family man, first lady, golf widow, groom, honest woman, house husband, housewife","bigamist (0.053), consort (0.053), helpmate (0.053), husband (0.053), monogamist (0.053), newlywed (0.053), polygamist (0.053), wife (0.053), battle-ax (0.100), benedick (0.100), bride (0.100), crown princess (0.100), cuckold (0.100), family man (0.100), first lady (0.100), golf widow (0.100), groom (0.100), honest woman (0.100), house husband (0.100), housewife (0.100)"
Love,love.n.01,a strong positive emotion of regard and affection,N/A,"worship, agape, agape, filial love, ardor, amorousness, puppy love, devotion, benevolence, heartstrings, lovingness, loyalty, emotion, beneficence, warmheartedness, conditioned emotional response, anger, fear, fear, anxiety","worship (0.067), agape (0.067), agape (0.067), filial love (0.067), ardor (0.067), amorousness (0.067), puppy love (0.067), devotion (0.067), benevolence (0.067), heartstrings (0.067), lovingness (0.067), loyalty (0.067), emotion (0.077), beneficence (0.125), warmheartedness (0.125), conditioned emotional response (0.143), anger (0.143), fear (0.143), fear (0.143), anxiety (0.143)"
Close,close.v.11,"come together, as if in an embrace",come_together,"entity, breathe, act, be active, oversleep, nod, fall asleep, go to bed, get up, wake, keep up, wear, lie in, carry to term, keep down, gag, treat, exercise, exhaust, fracture","entity (0.600), breathe (0.600), act (0.600), be active (0.600), oversleep (0.600), nod (0.600), fall asleep (0.600), go to bed (0.600), get up (0.600), wake (0.600), keep up (0.600), wear (0.600), lie in (0.600), carry to term (0.600), keep down (0.600), gag (0.600), treat (0.600), exercise (0.600), exhaust (0.600), fracture (0.600)"
Warm,warm.v.01,get warm or warmer,warm_up,"entity, breathe, act, be active, oversleep, nod, fall asleep, go to bed, get up, wake, keep up, wear, lie in, carry to term, keep down, gag, treat, exercise, exhaust, fracture","entity (0.600), breathe (0.600), act (0.600), be active (0.600), oversleep (0.600), nod (0.600), fall asleep (0.600), go to bed (0.600), get up (0.600), wake (0.600), keep up (0.600), wear (0.600), lie in (0.600), carry to term (0.600), keep down (0.600), gag (0.600), treat (0.600), exercise (0.600), exhaust (0.600), fracture (0.600)"
Pet,pet.n.01,a domesticated animal kept for companionship or amusement,N/A,"animal, pest, critter, creepy-crawly, darter, peeper, homeotherm, poikilotherm, range animal, varmint, scavenger, work animal, domestic animal, feeder, migrator, molter, stayer, stunt, marine animal, female","animal (0.067), pest (0.125), critter (0.125), creepy-crawly (0.125), darter (0.125), peeper (0.125), homeotherm (0.125), poikilotherm (0.125), range animal (0.125), varmint (0.125), scavenger (0.125), work animal (0.125), domestic animal (0.125), feeder (0.125), migrator (0.125), molter (0.125), stayer (0.125), stunt (0.125), marine animal (0.125), female (0.125)"
Intimate,confidant.n.01,someone to whom private matters are confided,confidant,"confidante, repository, organism, benthos, dwarf, heterotroph, parent, person, animal, plant, native, recombinant, conspecific, carrier, denizen, amphidiploid, diploid, haploid, heteroploid, polyploid","confidante (0.053), repository (0.053), organism (0.200), benthos (0.250), dwarf (0.250), heterotroph (0.250), parent (0.250), person (0.250), animal (0.250), plant (0.250), native (0.250), recombinant (0.250), conspecific (0.250), carrier (0.250), denizen (0.250), amphidiploid (0.250), diploid (0.250), haploid (0.250), heteroploid (0.250), polyploid (0.250)"
Intimate,intimate.s.04,involved in a sexual relationship,sexual,"entity, breathe, act, be active, oversleep, nod, fall asleep, go to bed, get up, wake, keep up, wear, lie in, carry to term, keep down, gag, treat, exercise, exhaust, fracture","entity (0.500), breathe (0.500), act (0.500), be active (0.500), oversleep (0.500), nod (0.500), fall asleep (0.500), go to bed (0.500), get up (0.500), wake (0.500), keep up (0.500), wear (0.500), lie in (0.500), carry to term (0.500), keep down (0.500), gag (0.500), treat (0.500), exercise (0.500), exhaust (0.500), fracture (0.500)"
Together,together.s.01,mentally and emotionally stable,N/A,"entity, breathe, act, be active, oversleep, nod, fall asleep, go to bed, get up, wake, keep up, wear, lie in, carry to term, keep down, gag, treat, exercise, exhaust, fracture","entity (0.500), breathe (0.500), act (0.500), be active (0.500), oversleep (0.500), nod (0.500), fall asleep (0.500), go to bed (0.500), get up (0.500), wake (0.500), keep up (0.500), wear (0.500), lie in (0.500), carry to term (0.500), keep down (0.500), gag (0.500), treat (0.500), exercise (0.500), exhaust (0.500), fracture (0.500)"
Together,together.r.01,in contact with each other or in proximity,N/A,"entity, breathe, act, be active, oversleep, nod, fall asleep, go to bed, get up, wake, keep up, wear, lie in, carry to term, keep down, gag, treat, exercise, exhaust, fracture","entity (0.500), breathe (0.500), act (0.500), be active (0.500), oversleep (0.500), nod (0.500), fall asleep (0.500), go to bed (0.500), get up (0.500), wake (0.500), keep up (0.500), wear (0.500), lie in (0.500), carry to term (0.500), keep down (0.500), gag (0.500), treat (0.500), exercise (0.500), exhaust (0.500), fracture (0.500)"
Affectionate,affectionate.s.01,having or displaying warmth or affection,"fond, lovesome, tender, warm","entity, breathe, act, be active, oversleep, nod, fall asleep, go to bed, get up, wake, keep up, wear, lie in, carry to term, keep down, gag, treat, exercise, exhaust, fracture","entity (0.500), breathe (0.500), act (0.500), be active (0.500), oversleep (0.500), nod (0.500), fall asleep (0.500), go to bed (0.500), get up (0.500), wake (0.500), keep up (0.500), wear (0.500), lie in (0.500), carry to term (0.500), keep down (0.500), gag (0.500), treat (0.500), exercise (0.500), exhaust (0.500), fracture (0.500)"
Kiss,kiss.n.01,the act of caressing with the lips (or an instance thereof),"buss, osculation","smack, soul kiss, touch, smacker, contact, tap, hit, dig, kiss, catch, handling, fingering, grope, palpation, tickle, stroke, tag, lick, grazing, act","smack (0.067), soul kiss (0.067), touch (0.077), smacker (0.125), contact (0.143), tap (0.143), hit (0.143), dig (0.143), kiss (0.143), catch (0.143), handling (0.143), fingering (0.143), grope (0.143), palpation (0.143), tickle (0.143), stroke (0.143), tag (0.143), lick (0.143), grazing (0.143), act (0.167)"
Hold_hands,N/A,N/A,N/A,N/A,N/A
Gentle,gentle.s.01,soft and mild; not harsh or stern or severe,soft,"entity, breathe, act, be active, oversleep, nod, fall asleep, go to bed, get up, wake, keep up, wear, lie in, carry to term, keep down, gag, treat, exercise, exhaust, fracture","entity (0.500), breathe (0.500), act (0.500), be active (0.500), oversleep (0.500), nod (0.500), fall asleep (0.500), go to bed (0.500), get up (0.500), wake (0.500), keep up (0.500), wear (0.500), lie in (0.500), carry to term (0.500), keep down (0.500), gag (0.500), treat (0.500), exercise (0.500), exhaust (0.500), fracture (0.500)"
Loving,love.v.01,have a great affection or liking for,love,"love, care for, dote, adore, entity, breathe, act, be active, oversleep, nod, fall asleep, go to bed, get up, wake, keep up, wear, lie in, carry to term, keep down, gag","love (0.333), care for (0.333), dote (0.333), adore (0.333), entity (0.500), breathe (0.500), act (0.500), be active (0.500), oversleep (0.500), nod (0.500), fall asleep (0.500), go to bed (0.500), get up (0.500), wake (0.500), keep up (0.500), wear (0.500), lie in (0.500), carry to term (0.500), keep down (0.500), gag (0.500)"
Loving,love.v.03,be enamored or in love with,love,"romance, entity, breathe, act, be active, oversleep, nod, fall asleep, go to bed, get up, wake, keep up, wear, lie in, carry to term, keep down, gag, treat, exercise, exhaust","romance (0.200), entity (0.600), breathe (0.600), act (0.600), be active (0.600), oversleep (0.600), nod (0.600), fall asleep (0.600), go to bed (0.600), get up (0.600), wake (0.600), keep up (0.600), wear (0.600), lie in (0.600), carry to term (0.600), keep down (0.600), gag (0.600), treat (0.600), exercise (0.600), exhaust (0.600)"
Sweet,gratifying.s.01,pleasing to the mind or feeling,gratifying,"entity, breathe, act, be active, oversleep, nod, fall asleep, go to bed, get up, wake, keep up, wear, lie in, carry to term, keep down, gag, treat, exercise, exhaust, fracture","entity (0.500), breathe (0.500), act (0.500), be active (0.500), oversleep (0.500), nod (0.500), fall asleep (0.500), go to bed (0.500), get up (0.500), wake (0.500), keep up (0.500), wear (0.500), lie in (0.500), carry to term (0.500), keep down (0.500), gag (0.500), treat (0.500), exercise (0.500), exhaust (0.500), fracture (0.500)"
Embrace,embrace.n.01,the act of clasping another person in the arms (as in greeting or affection),"embracing, embracement","cuddle, hug, clasp, chokehold, wrestling hold, grasping, bear hug, nelson, Japanese stranglehold, lock, scissors, stranglehold, toehold, control, full nelson, half nelson, hammerlock, headlock, repression, crowd control","cuddle (0.048), hug (0.048), clasp (0.053), chokehold (0.100), wrestling hold (0.100), grasping (0.111), bear hug (0.143), nelson (0.143), Japanese stranglehold (0.143), lock (0.143), scissors (0.143), stranglehold (0.143), toehold (0.143), control (0.176), full nelson (0.182), half nelson (0.182), hammerlock (0.182), headlock (0.182), repression (0.222), crowd control (0.222)"
Warmth,warmheartedness.n.01,a warmhearted feeling,warmheartedness,"lovingness, love, worship, agape, agape, filial love, ardor, amorousness, puppy love, devotion, benevolence, heartstrings, loyalty, emotion, beneficence, conditioned emotional response, anger, fear, fear, anxiety","lovingness (0.059), love (0.125), worship (0.176), agape (0.176), agape (0.176), filial love (0.176), ardor (0.176), amorousness (0.176), puppy love (0.176), devotion (0.176), benevolence (0.176), heartstrings (0.176), loyalty (0.176), emotion (0.200), beneficence (0.222), conditioned emotional response (0.250), anger (0.250), fear (0.250), fear (0.250), anxiety (0.250)"
Rubbing,rub.v.01,move over something with pressure,rub,"brush, pumice, gauge, puree, rosin, sponge down, worry, scrub, scour, smear, scrape, wipe, grate, paw, holystone, resmudge, dust, sponge, squeegee, sweep","brush (0.200), pumice (0.200), gauge (0.200), puree (0.200), rosin (0.200), sponge down (0.200), worry (0.200), scrub (0.200), scour (0.200), smear (0.200), scrape (0.200), wipe (0.200), grate (0.200), paw (0.333), holystone (0.333), resmudge (0.333), dust (0.333), sponge (0.333), squeegee (0.333), sweep (0.333)"
Comfort,comfort.n.01,a state of being relaxed and feeling no pain,comfortableness,"relief, solace, coziness, convenience, condition, reprieve, diversity, anchorage, health, mode, niche, noise conditions, participation, prepossession, regularization, saturation, silence, situation, ski conditions, nomination","relief (0.077), solace (0.077), coziness (0.077), convenience (0.077), condition (0.091), reprieve (0.143), diversity (0.167), anchorage (0.167), health (0.167), mode (0.167), niche (0.167), noise conditions (0.167), participation (0.167), prepossession (0.167), regularization (0.167), saturation (0.167), silence (0.167), situation (0.167), ski conditions (0.167), nomination (0.167)"
Closeness,closeness.n.01,a feeling of being intimate and belonging together,intimacy,"togetherness, belonging, comfortableness, happiness, bonheur, gladness, gaiety, rejoicing, cheerfulness, contentment, feeling, hilarity, jocundity, buoyancy, carefreeness, satisfaction, jollity, affect, emotion, thing","togetherness (0.059), belonging (0.067), comfortableness (0.125), happiness (0.143), bonheur (0.200), gladness (0.200), gaiety (0.200), rejoicing (0.200), cheerfulness (0.200), contentment (0.200), feeling (0.231), hilarity (0.250), jocundity (0.250), buoyancy (0.250), carefreeness (0.250), satisfaction (0.250), jollity (0.250), affect (0.286), emotion (0.286), thing (0.286)"
